Emoji,Count
😂,1061
😷,490
🙈,131
😭,116
😳,111
😱,82
😊,79
😡,72
😬,64
😢,57
😆,55
👀,49
😍,46
😠,43
👎,41
😒,39
😨,37
😞,32
😤,29
😰,27
💰,25
😥,25
😫,22
👻,20
💩,18
😟,18
💔,15
😣,14
✊,12
🙊,12
🌹,10
💕,10
😚,9
😖,9
🎉,6
😹,6
😙,5
☺,3
💋,2
💭,1
