Emoji,Count
😂,486
😷,146
😭,74
🙈,70
😡,50
😆,44
😱,37
😢,34
😊,34
😳,31
😍,28
👎,24
😹,18
😒,16
👀,14
😬,14
😥,13
😰,13
💔,12
✊,11
😖,11
💕,10
💰,10
😞,8
😠,7
😟,6
😫,6
🎉,6
🌹,5
🙊,5
😤,5
💩,4
😣,4
😚,3
👻,2
😙,1
💭,1
☺,1
