Emoji,Count
😂,259
😡,105
😷,72
😭,60
🙈,42
😍,36
😆,35
😊,23
😳,22
😱,20
😢,15
😬,15
😤,12
👎,12
👀,11
💰,10
🎉,8
😹,8
😒,8
💩,6
👻,5
😞,5
💔,5
😖,5
🙊,5
😟,4
💕,4
😰,4
🌹,4
😣,3
😠,3
😙,2
😨,2
✊,2
😥,2
😫,1
💭,1
😚,1
