Emoji,Count
😂,238
😷,64
🙈,38
😢,22
😊,22
😳,20
😱,15
😆,14
😡,12
😭,11
😬,10
😍,9
👀,8
💰,8
💋,8
👎,7
✊,6
😟,5
😰,5
😞,4
😣,4
😠,4
😒,4
💕,4
🙊,3
💔,3
😚,2
💩,2
😥,2
👻,1
☺,1
😖,1
🌹,1
😤,1
😹,1
