category,total_score,totaL_count
anger,"31,63",45
anticipation,"21,0",34
disgust,"45,510000000000005",83
fear,"24,830000000000002",29
joy,"266,4",284
sadness,"45,12",46
surprise,"43,62",92
trust,"3,5999999999999996",5
