category,total_score,totaL_count
anger,"82,03",102
anticipation,"30,7",50
disgust,"93,83000000000001",171
fear,"50,53",58
joy,"547,4",583
sadness,"137,17",141
surprise,"67,74",140
trust,"13,94",19
