category,total_score,totaL_count
anger,"179,87",224
anticipation,"94,75",151
disgust,"300,71",553
fear,"160,5",184
joy,"1130,36",1204
sadness,"236,79",245
surprise,"145,38",306
trust,"26,259999999999998",36
